Stellar Sequence
Central Pressure Range = 4.0 to 1500.0 MeVfm^3
Number of Stars = 1250
h = 5 meters
r0 = 10.0 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 4.24413131e+02   1.07000000e+01    2.07627833e+00    1.00202124e+03
 4.25610889e+02   1.07000000e+01    2.07699267e+00    1.00323147e+03
 4.26808647e+02   1.07000000e+01    2.07770237e+00    1.00444075e+03
 4.28006405e+02   1.06950000e+01    2.07840777e+00    1.00564913e+03
 4.29204163e+02   1.06950000e+01    2.07910890e+00    1.00685669e+03
 4.30401922e+02   1.06900000e+01    2.07980572e+00    1.00806346e+03
 4.31599680e+02   1.06900000e+01    2.08049815e+00    1.00926946e+03
 4.32797438e+02   1.06850000e+01    2.08118636e+00    1.01047462e+03
 4.33995196e+02   1.06850000e+01    2.08187054e+00    1.01167887e+03
 4.35192954e+02   1.06850000e+01    2.08255027e+00    1.01288216e+03
 4.36390713e+02   1.06800000e+01    2.08322591e+00    1.01408442e+03
 4.37588471e+02   1.06800000e+01    2.08389756e+00    1.01528558e+03
 4.38786229e+02   1.06750000e+01    2.08456496e+00    1.01648557e+03
 4.39983987e+02   1.06750000e+01    2.08522828e+00    1.01768433e+03
