Stellar Sequence
Central Pressure Range = 4.0 to 1000.0 MeVfm^3
Number of Stars = 1250
h = 5 meters
r0 = 10.0 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 2.79913531e+02   1.10150000e+01    1.86236456e+00    9.74557533e+02
 2.80710969e+02   1.10100000e+01    1.86297896e+00    9.76036193e+02
 2.81508407e+02   1.10100000e+01    1.86358939e+00    9.77513783e+02
 2.82305845e+02   1.10050000e+01    1.86419566e+00    9.78990317e+02
 2.83103283e+02   1.10050000e+01    1.86479793e+00    9.80465802e+02
 2.83900721e+02   1.10000000e+01    1.86539627e+00    9.81940227e+02
 2.84698159e+02   1.10000000e+01    1.86599055e+00    9.83413568e+02
 2.85495596e+02   1.09950000e+01    1.86658098e+00    9.84885799e+02
 2.86293034e+02   1.09950000e+01    1.86716746e+00    9.86356895e+02
 2.87090472e+02   1.09900000e+01    1.86775002e+00    9.87826832e+02
 2.87887910e+02   1.09900000e+01    1.86832884e+00    9.89295584e+02
 2.88685348e+02   1.09850000e+01    1.86890374e+00    9.90763128e+02
 2.89482786e+02   1.09850000e+01    1.86947483e+00    9.92229437e+02
 2.90280224e+02   1.09800000e+01    1.87004226e+00    9.93694488e+02
 2.91077662e+02   1.09800000e+01    1.87060584e+00    9.95158256e+02
 2.91875100e+02   1.09750000e+01    1.87116574e+00    9.96620726e+02
 2.92672538e+02   1.09750000e+01    1.87172199e+00    9.98081936e+02
 2.93469976e+02   1.09700000e+01    1.87227450e+00    9.99541942e+02
 2.94267414e+02   1.09700000e+01    1.87282345e+00    1.00100080e+03
