Stellar Sequence
Central Pressure Range = 4.0 to 1500.0 MeVfm^3
Number of Stars = 1250
h = 5 meters
r0 = 10.0 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 4.14831065e+02   1.09850000e+01    2.02913824e+00    1.09104348e+03
 4.16028823e+02   1.09800000e+01    2.02959104e+00    1.09258476e+03
 4.17226581e+02   1.09750000e+01    2.03004039e+00    1.09412445e+03
 4.18424339e+02   1.09750000e+01    2.03048636e+00    1.09566256e+03
 4.19622098e+02   1.09700000e+01    2.03092891e+00    1.09719908e+03
 4.20819856e+02   1.09700000e+01    2.03136814e+00    1.09873402e+03
 4.22017614e+02   1.09650000e+01    2.03180402e+00    1.10026740e+03
 4.23215372e+02   1.09600000e+01    2.03223660e+00    1.10179920e+03
 4.24413131e+02   1.09600000e+01    2.03266590e+00    1.10332945e+03
 4.25610889e+02   1.09550000e+01    2.03309194e+00    1.10485814e+03
 4.26808647e+02   1.09550000e+01    2.03351475e+00    1.10638528e+03
 4.28006405e+02   1.09500000e+01    2.03393436e+00    1.10791087e+03
 4.29204163e+02   1.09450000e+01    2.03435078e+00    1.10943493e+03
 4.30401922e+02   1.09450000e+01    2.03476406e+00    1.11095745e+03
 4.31599680e+02   1.09400000e+01    2.03517418e+00    1.11247844e+03
 4.32797438e+02   1.09400000e+01    2.03558122e+00    1.11399791e+03
 4.33995196e+02   1.09350000e+01    2.03598513e+00    1.11551586e+03
 4.35192954e+02   1.09350000e+01    2.03638601e+00    1.11703230e+03
 4.36390713e+02   1.09300000e+01    2.03678385e+00    1.11854723e+03
 4.37588471e+02   1.09300000e+01    2.03717866e+00    1.12006065e+03
 4.38786229e+02   1.09250000e+01    2.03757048e+00    1.12157258e+03
 4.39983987e+02   1.09200000e+01    2.03795932e+00    1.12308301e+03
